Indicator;Year;Region;Zone;Percentage;Real
Population covered by at least a 3G mobile network (%);2017; Lower-middle-income ;Rural; 72,7 ;
Population covered by at least a 3G mobile network (%);2017; Upper-middle-income ;Rural; 86,5 ;
Population covered by at least a 3G mobile network (%);2017; High-income ;Rural; 84,0 ;
Population covered by at least a 3G mobile network (%);2017; Least Developed Countries (LDCs) ;Rural; 53,0 ;
Population covered by at least a 3G mobile network (%);2017; Land Locked Developing Countries (LLDCs) ;Rural; 50,2 ;
Population covered by at least a 3G mobile network (%);2017; Small Island Developing States (SIDS) ;Rural; 48,7 ;
Population covered by at least a 3G mobile network (%);2017; Africa ;Rural; 42,0 ;
Population covered by at least a 3G mobile network (%);2017; Americas ;Rural; 72,0 ;
Population covered by at least a 3G mobile network (%);2017; Arab States ;Rural; 71,2 ;
Population covered by at least a 3G mobile network (%);2017; Asia-Pacific ;Rural; 83,3 ;
Population covered by at least a 3G mobile network (%);2017; CIS ;Rural; 41,4 ;
Population covered by at least a 3G mobile network (%);2017; Europe ;Rural; 92,8 ;
Population covered by at least a 3G mobile network (%);2018; World ;Rural; 80,1 ;
Population covered by at least a 3G mobile network (%);2018; Low-income ;Rural; 44,5 ;
Population covered by at least a 3G mobile network (%);2018; Lower-middle-income ;Rural; 81,0 ;
Population covered by at least a 3G mobile network (%);2018; Upper-middle-income ;Rural; 90,7 ;
Population covered by at least a 3G mobile network (%);2018; High-income ;Rural; 84,6 ;
Population covered by at least a 3G mobile network (%);2018; Least Developed Countries (LDCs) ;Rural; 57,6 ;
Population covered by at least a 3G mobile network (%);2018; Land Locked Developing Countries (LLDCs) ;Rural; 54,7 ;
Population covered by at least a 3G mobile network (%);2018; Small Island Developing States (SIDS) ;Rural; 53,0 ;
Population covered by at least a 3G mobile network (%);2018; Africa ;Rural; 53,1 ;
Population covered by at least a 3G mobile network (%);2018; Americas ;Rural; 72,5 ;
Population covered by at least a 3G mobile network (%);2018; Arab States ;Rural; 76,2 ;
Population covered by at least a 3G mobile network (%);2018; Asia-Pacific ;Rural; 88,9 ;
Population covered by at least a 3G mobile network (%);2018; CIS ;Rural; 44,5 ;
Population covered by at least a 3G mobile network (%);2018; Europe ;Rural; 93,3 ;
Population covered by at least a 3G mobile network (%);2019; World ;Rural; 83,8 ;
Population covered by at least a 3G mobile network (%);2019; Low-income ;Rural; 51,2 ;
Population covered by at least a 3G mobile network (%);2019; Lower-middle-income ;Rural; 85,3 ;
Population covered by at least a 3G mobile network (%);2019; Upper-middle-income ;Rural; 91,7 ;
Population covered by at least a 3G mobile network (%);2019; High-income ;Rural; 91,0 ;
Population covered by at least a 3G mobile network (%);2019; Least Developed Countries (LDCs) ;Rural; 61,6 ;
Population covered by at least a 3G mobile network (%);2019; Land Locked Developing Countries (LLDCs) ;Rural; 60,9 ;
Population covered by at least a 3G mobile network (%);2019; Small Island Developing States (SIDS) ;Rural; 53,2 ;
Population covered by at least a 3G mobile network (%);2019; Africa ;Rural; 59,1 ;
Population covered by at least a 3G mobile network (%);2019; Americas ;Rural; 73,0 ;
Population covered by at least a 3G mobile network (%);2019; Arab States ;Rural; 77,5 ;
Population covered by at least a 3G mobile network (%);2019; Asia-Pacific ;Rural; 92,5 ;
Population covered by at least a 3G mobile network (%);2019; CIS ;Rural; 64,1 ;
Population covered by at least a 3G mobile network (%);2019; Europe ;Rural; 93,5 ;
Population covered by at least a 3G mobile network (%);2020; World ;Rural; 84,5 ;
Population covered by at least a 3G mobile network (%);2020; Low-income ;Rural; 55,5 ;
Population covered by at least a 3G mobile network (%);2020; Lower-middle-income ;Rural; 87,0 ;
Population covered by at least a 3G mobile network (%);2020; Upper-middle-income ;Rural; 91,6 ;
Population covered by at least a 3G mobile network (%);2020; High-income ;Rural; 92,0 ;
Population covered by at least a 3G mobile network (%);2020; Least Developed Countries (LDCs) ;Rural; 63,7 ;
Population covered by at least a 3G mobile network (%);2020; Land Locked Developing Countries (LLDCs) ;Rural; 62,5 ;
Population covered by at least a 3G mobile network (%);2020; Small Island Developing States (SIDS) ;Rural; 53,5 ;
Population covered by at least a 3G mobile network (%);2020; Africa ;Rural; 59,2 ;
Population covered by at least a 3G mobile network (%);2020; Americas ;Rural; 72,2 ;
Population covered by at least a 3G mobile network (%);2020; Arab States ;Rural; 82,4 ;
Population covered by at least a 3G mobile network (%);2020; Asia-Pacific ;Rural; 93,0 ;
Population covered by at least a 3G mobile network (%);2020; CIS ;Rural; 70,4 ;
Population covered by at least a 3G mobile network (%);2020; Europe ;Rural; 94,9 ;
Population covered by at least a 3G mobile network (%);2021; World ;Rural; 85,8 ;
Population covered by at least a 3G mobile network (%);2021; Low-income ;Rural; 55,5 ;
Population covered by at least a 3G mobile network (%);2021; Lower-middle-income ;Rural; 89,0 ;
Population covered by at least a 3G mobile network (%);2021; Upper-middle-income ;Rural; 91,7 ;
Population covered by at least a 3G mobile network (%);2021; High-income ;Rural; 96,3 ;
Population covered by at least a 3G mobile network (%);2021; Least Developed Countries (LDCs) ;Rural; 64,1 ;
Population covered by at least a 3G mobile network (%);2021; Land Locked Developing Countries (LLDCs) ;Rural; 65,2 ;
Population covered by at least a 3G mobile network (%);2021; Small Island Developing States (SIDS) ;Rural; 53,1 ;
Population covered by at least a 3G mobile network (%);2021; Africa ;Rural; 64,2 ;
Population covered by at least a 3G mobile network (%);2021; Americas ;Rural; 72,2 ;
Population covered by at least a 3G mobile network (%);2021; Arab States ;Rural; 80,0 ;
Population covered by at least a 3G mobile network (%);2021; Asia-Pacific ;Rural; 93,2 ;
Population covered by at least a 3G mobile network (%);2021; CIS ;Rural; 86,9 ;
Population covered by at least a 3G mobile network (%);2021; Europe ;Rural; 96,1 ;
Population covered by at least a 3G mobile network (%);2022; World ;Rural; 87,3 ;
Population covered by at least a 3G mobile network (%);2022; Low-income ;Rural; 61,8 ;
Population covered by at least a 3G mobile network (%);2022; Lower-middle-income ;Rural; 90,1 ;
Population covered by at least a 3G mobile network (%);2022; Upper-middle-income ;Rural; 92,5 ;
Population covered by at least a 3G mobile network (%);2022; High-income ;Rural; 96,1 ;
Population covered by at least a 3G mobile network (%);2022; Least Developed Countries (LDCs) ;Rural; 68,4 ;
Population covered by at least a 3G mobile network (%);2022; Land Locked Developing Countries (LLDCs) ;Rural; 72,0 ;
Population covered by at least a 3G mobile network (%);2022; Small Island Developing States (SIDS) ;Rural; 56,2 ;
Population covered by at least a 3G mobile network (%);2022; Africa ;Rural; 68,5 ;
Population covered by at least a 3G mobile network (%);2022; Americas ;Rural; 75,7 ;
Population covered by at least a 3G mobile network (%);2022; Arab States ;Rural; 83,1 ;
Population covered by at least a 3G mobile network (%);2022; Asia-Pacific ;Rural; 93,7 ;
Population covered by at least a 3G mobile network (%);2022; CIS ;Rural; 88,9 ;
Population covered by at least a 3G mobile network (%);2022; Europe ;Rural; 96,4 ;
Population covered by at least a 3G mobile network (%);2023; World ;Rural; 89,4 ;
Population covered by at least a 3G mobile network (%);2023; Low-income ;Rural; 68,0 ;
Population covered by at least a 3G mobile network (%);2023; Lower-middle-income ;Rural; 91,7 ;
Population covered by at least a 3G mobile network (%);2023; Upper-middle-income ;Rural; 94,0 ;
Population covered by at least a 3G mobile network (%);2023; High-income ;Rural; 97,1 ;
Population covered by at least a 3G mobile network (%);2023; Least Developed Countries (LDCs) ;Rural; 74,6 ;
Population covered by at least a 3G mobile network (%);2023; Land Locked Developing Countries (LLDCs) ;Rural; 77,7 ;
Population covered by at least a 3G mobile network (%);2023; Small Island Developing States (SIDS) ;Rural; 60,7 ;
Population covered by at least a 3G mobile network (%);2023; Africa ;Rural; 73,7 ;
Population covered by at least a 3G mobile network (%);2023; Americas ;Rural; 76,5 ;
Population covered by at least a 3G mobile network (%);2023; Arab States ;Rural; 87,6 ;
Population covered by at least a 3G mobile network (%);2023; Asia-Pacific ;Rural; 94,9 ;
Population covered by at least a 3G mobile network (%);2023; CIS ;Rural; 92,7 ;
Population covered by at least a 3G mobile network (%);2023; Europe ;Rural; 97,4 ;
Population covered by at least a 3G mobile network (%);2024; World ;Rural; 89,8 ;
Population covered by at least a 3G mobile network (%);2024; Low-income ;Rural; 69,5 ;
Population covered by at least a 3G mobile network (%);2024; Lower-middle-income ;Rural; 92,1 ;
Population covered by at least a 3G mobile network (%);2024; Upper-middle-income ;Rural; 93,9 ;
Population covered by at least a 3G mobile network (%);2024; High-income ;Rural; 97,1 ;
Population covered by at least a 3G mobile network (%);2024; Least Developed Countries (LDCs) ;Rural; 75,9 ;
Population covered by at least a 3G mobile network (%);2024; Land Locked Developing Countries (LLDCs) ;Rural; 79,4 ;
Population covered by at least a 3G mobile network (%);2024; Small Island Developing States (SIDS) ;Rural; 60,8 ;
Population covered by at least a 3G mobile network (%);2024; Africa ;Rural; 75,0 ;
Population covered by at least a 3G mobile network (%);2024; Americas ;Rural; 76,4 ;
Population covered by at least a 3G mobile network (%);2024; Arab States ;Rural; 87,9 ;
Population covered by at least a 3G mobile network (%);2024; Asia-Pacific ;Rural; 95,1 ;
Population covered by at least a 3G mobile network (%);2024; CIS ;Rural; 92,9 ;
Population covered by at least a 3G mobile network (%);2024; Europe ;Rural; 97,6 ;
;;;;;
;;;;;
Population covered by at least a 5G mobile network (%);2015;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015;Americas;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015;Arab States;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015;Asia-Pacific;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015;Europe;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; High-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; Lower-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; Small Island Developing States (SIDS) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; Upper-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2015; World ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016;Americas;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016;Arab States;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016;Asia-Pacific;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016;Europe;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; High-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; Lower-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; Small Island Developing States (SIDS) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; Upper-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2016; World ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017;Americas;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017;Arab States;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017;Asia-Pacific;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017;Europe;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; High-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; Lower-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; Small Island Developing States (SIDS) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; Upper-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2017; World ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018;Americas;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018;Arab States;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018;Asia-Pacific;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018;Europe;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; High-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; Lower-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; Small Island Developing States (SIDS) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; Upper-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2018; World ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019;Americas;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019;Arab States;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019;Asia-Pacific;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019;Europe;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; High-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; Lower-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; Small Island Developing States (SIDS) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; Upper-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2019; World ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020;Americas;Rural;13,3;
Population covered by at least a 5G mobile network (%);2020;Arab States;Rural;0,1;
Population covered by at least a 5G mobile network (%);2020;Asia-Pacific;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020;Europe;Rural;1,6;
Population covered by at least a 5G mobile network (%);2020; High-income ;Rural;10,4;
Population covered by at least a 5G mobile network (%);2020; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020; Lower-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020; Small Island Developing States (SIDS) ;Rural;0,6;
Population covered by at least a 5G mobile network (%);2020; Upper-middle-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2020; World ;Rural;0,8;
Population covered by at least a 5G mobile network (%);2021;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2021;Americas;Rural;21,6;
Population covered by at least a 5G mobile network (%);2021;Arab States;Rural;0,3;
Population covered by at least a 5G mobile network (%);2021;Asia-Pacific;Rural;1,7;
Population covered by at least a 5G mobile network (%);2021;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2021;Europe;Rural;11;
Population covered by at least a 5G mobile network (%);2021; High-income ;Rural;24;
Population covered by at least a 5G mobile network (%);2021; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2021; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2021; Lower-middle-income ;Rural;0,8;
Population covered by at least a 5G mobile network (%);2021; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2021; Small Island Developing States (SIDS) ;Rural;0,6;
Population covered by at least a 5G mobile network (%);2021; Upper-middle-income ;Rural;1,8;
Population covered by at least a 5G mobile network (%);2021; World ;Rural;2,7;
Population covered by at least a 5G mobile network (%);2022;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2022;Americas;Rural;27,9;
Population covered by at least a 5G mobile network (%);2022;Arab States;Rural;0,6;
Population covered by at least a 5G mobile network (%);2022;Asia-Pacific;Rural;13,3;
Population covered by at least a 5G mobile network (%);2022;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2022;Europe;Rural;22,7;
Population covered by at least a 5G mobile network (%);2022; High-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2022; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2022; Least Developed Countries (LDCs) ;Rural;38,3;
Population covered by at least a 5G mobile network (%);2022; Lower-middle-income ;Rural;1;
Population covered by at least a 5G mobile network (%);2022; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2022; Small Island Developing States (SIDS) ;Rural;0,8;
Population covered by at least a 5G mobile network (%);2022; Upper-middle-income ;Rural;28,4;
Population covered by at least a 5G mobile network (%);2022; World ;Rural;10,9;
Population covered by at least a 5G mobile network (%);2023;Africa;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2023;Americas;Rural;29,5;
Population covered by at least a 5G mobile network (%);2023;Arab States;Rural;0,7;
Population covered by at least a 5G mobile network (%);2023;Asia-Pacific;Rural;31;
Population covered by at least a 5G mobile network (%);2023;CIS;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2023;Europe;Rural;32,3;
Population covered by at least a 5G mobile network (%);2023; High-income ;Rural;47;
Population covered by at least a 5G mobile network (%);2023; Land Locked Developing Countries (LLDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2023; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2023; Lower-middle-income ;Rural;11,3;
Population covered by at least a 5G mobile network (%);2023; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2023; Small Island Developing States (SIDS) ;Rural;1,2;
Population covered by at least a 5G mobile network (%);2023; Upper-middle-income ;Rural;50,1;
Population covered by at least a 5G mobile network (%);2023; World ;Rural;22,4;
Population covered by at least a 5G mobile network (%);2024;Africa;Rural;0,1;
Population covered by at least a 5G mobile network (%);2024;Americas;Rural;30,7;
Population covered by at least a 5G mobile network (%);2024;Arab States;Rural;0,8;
Population covered by at least a 5G mobile network (%);2024;Asia-Pacific;Rural;41;
Population covered by at least a 5G mobile network (%);2024;CIS;Rural; -   ;
Population covered by at least a 5G mobile network (%);2024;Europe;Rural;45,8;
Population covered by at least a 5G mobile network (%);2024; High-income ;Rural;57,7;
Population covered by at least a 5G mobile network (%);2024; Land Locked Developing Countries (LLDCs) ;Rural;0,1;
Population covered by at least a 5G mobile network (%);2024; Least Developed Countries (LDCs) ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2024; Lower-middle-income ;Rural;22,3;
Population covered by at least a 5G mobile network (%);2024; Low-income ;Rural; N/A ;
Population covered by at least a 5G mobile network (%);2024; Small Island Developing States (SIDS) ;Rural;2,8;
Population covered by at least a 5G mobile network (%);2024; Upper-middle-income ;Rural;51,9;
Population covered by at least a 5G mobile network (%);2024; World ;Rural;29,2;
Population covered by at least a 5G mobile network (%);2015; High-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; Land Locked Developing Countries (LLDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; Least Developed Countries (LDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; Lower-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; Low-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; Small Island Developing States (SIDS) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; Upper-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015; World ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015;Africa;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015;Americas;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015;Arab States;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015;Asia-Pacific;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015;CIS;Total; N/A ;
Population covered by at least a 5G mobile network (%);2015;Europe;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; High-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; Land Locked Developing Countries (LLDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; Least Developed Countries (LDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; Lower-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; Low-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; Small Island Developing States (SIDS) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; Upper-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016; World ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016;Africa;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016;Americas;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016;Arab States;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016;Asia-Pacific;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016;CIS;Total; N/A ;
Population covered by at least a 5G mobile network (%);2016;Europe;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; High-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; Land Locked Developing Countries (LLDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; Least Developed Countries (LDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; Lower-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; Low-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; Small Island Developing States (SIDS) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; Upper-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017; World ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017;Africa;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017;Americas;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017;Arab States;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017;Asia-Pacific;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017;CIS;Total; N/A ;
Population covered by at least a 5G mobile network (%);2017;Europe;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; High-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; Land Locked Developing Countries (LLDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; Least Developed Countries (LDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; Lower-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; Low-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; Small Island Developing States (SIDS) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; Upper-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018; World ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018;Africa;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018;Americas;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018;Arab States;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018;Asia-Pacific;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018;CIS;Total; N/A ;
Population covered by at least a 5G mobile network (%);2018;Europe;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; High-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; Land Locked Developing Countries (LLDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; Least Developed Countries (LDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; Lower-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; Low-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; Small Island Developing States (SIDS) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; Upper-middle-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019; World ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019;Africa;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019;Americas;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019;Arab States;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019;Asia-Pacific;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019;CIS;Total; N/A ;
Population covered by at least a 5G mobile network (%);2019;Europe;Total; N/A ;
Population covered by at least a 5G mobile network (%);2020; High-income ;Total;47,3;
Population covered by at least a 5G mobile network (%);2020; Land Locked Developing Countries (LLDCs) ;Total;0,3;
Population covered by at least a 5G mobile network (%);2020; Least Developed Countries (LDCs) ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2020; Lower-middle-income ;Total;0,5;
Population covered by at least a 5G mobile network (%);2020; Low-income ;Total; N/A ;
Population covered by at least a 5G mobile network (%);2020; Small Island Developing States (SIDS) ;Total;8;
Population covered by at least a 5G mobile network (%);2020; Upper-middle-income ;Total;1,7;
Population covered by at least a 5G mobile network (%);2020; World ;Total;9,2;
Population covered by at least a 5G mobile network (%);2020;Africa;Total;0,1;
Population covered by at least a 5G mobile network (%);2020;Americas;Total;35,1;
Population covered by at least a 5G mobile network (%);2020;Arab States;Total;7,6;
Population covered by at least a 5G mobile network (%);2020;Asia-Pacific;Total;2,9;
Population covered by at least a 5G mobile network (%);2020;CIS;Total;0,4;
Population covered by at least a 5G mobile network (%);2020;Europe;Total;27,6;
Population covered by at least a 5G mobile network (%);2021; World ;Total;18,7;
Population covered by at least a 5G mobile network (%);2021; Low-income ;Total; -   ;
Population covered by at least a 5G mobile network (%);2021; Lower-middle-income ;Total;2,4;
Population covered by at least a 5G mobile network (%);2021; Upper-middle-income ;Total;17,6;
Population covered by at least a 5G mobile network (%);2021; High-income ;Total;65,7;
Population covered by at least a 5G mobile network (%);2021; Least Developed Countries (LDCs) ;Total;0,1;
Population covered by at least a 5G mobile network (%);2021; Land Locked Developing Countries (LLDCs) ;Total;0,8;
Population covered by at least a 5G mobile network (%);2021; Small Island Developing States (SIDS) ;Total;11,3;
Population covered by at least a 5G mobile network (%);2021;Africa;Total;0,9;
Population covered by at least a 5G mobile network (%);2021;Americas;Total;41,4;
Population covered by at least a 5G mobile network (%);2021;Arab States;Total;8,5;
Population covered by at least a 5G mobile network (%);2021;Asia-Pacific;Total;15,5;
Population covered by at least a 5G mobile network (%);2021;CIS;Total;1,6;
Population covered by at least a 5G mobile network (%);2021;Europe;Total;45,1;
Population covered by at least a 5G mobile network (%);2022; World ;Total;32;
Population covered by at least a 5G mobile network (%);2022; Low-income ;Total;0,5;
Population covered by at least a 5G mobile network (%);2022; Lower-middle-income ;Total;5,5;
Population covered by at least a 5G mobile network (%);2022; Upper-middle-income ;Total;47,5;
Population covered by at least a 5G mobile network (%);2022; High-income ;Total;74,6;
