Indicator;Year;Region;Zone;Percentage;Real
Population covered by a mobile-cellular network (%);2018; Small Island Developing States (SIDS) ;Total;90,6;
Population covered by a mobile-cellular network (%);2019; World ;Total;96,9;
Population covered by a mobile-cellular network (%);2019; Low-income ;Total;85,8;
Population covered by a mobile-cellular network (%);2019; Lower-middle-income ;Total;96,6;
Population covered by a mobile-cellular network (%);2019; Upper-middle-income ;Total;98,4;
Population covered by a mobile-cellular network (%);2019; High-income ;Total;99,6;
Population covered by a mobile-cellular network (%);2019; Least Developed Countries (LDCs) ;Total;89,7;
Population covered by a mobile-cellular network (%);2019; Land Locked Developing Countries (LLDCs) ;Total;93,9;
Population covered by a mobile-cellular network (%);2019; Small Island Developing States (SIDS) ;Total;90,8;
Population covered by a mobile-cellular network (%);2020; World ;Total;97;
Population covered by a mobile-cellular network (%);2020; Low-income ;Total;88;
Population covered by a mobile-cellular network (%);2020; Lower-middle-income ;Total;96,6;
Population covered by a mobile-cellular network (%);2020; Upper-middle-income ;Total;98,3;
Population covered by a mobile-cellular network (%);2020; High-income ;Total;99,7;
Population covered by a mobile-cellular network (%);2020; Least Developed Countries (LDCs) ;Total;90,8;
Population covered by a mobile-cellular network (%);2020; Land Locked Developing Countries (LLDCs) ;Total;93,7;
Population covered by a mobile-cellular network (%);2020; Small Island Developing States (SIDS) ;Total;90,9;
Population covered by a mobile-cellular network (%);2021; World ;Total;97,3;
Population covered by a mobile-cellular network (%);2021; Low-income ;Total;89,1;
Population covered by a mobile-cellular network (%);2021; Lower-middle-income ;Total;97,1;
Population covered by a mobile-cellular network (%);2021; Upper-middle-income ;Total;98,3;
Population covered by a mobile-cellular network (%);2021; High-income ;Total;99,7;
Population covered by a mobile-cellular network (%);2021; Least Developed Countries (LDCs) ;Total;92;
Population covered by a mobile-cellular network (%);2021; Land Locked Developing Countries (LLDCs) ;Total;94,3;
Population covered by a mobile-cellular network (%);2021; Small Island Developing States (SIDS) ;Total;91,1;
Population covered by a mobile-cellular network (%);2022; World ;Total;97,5;
Population covered by a mobile-cellular network (%);2022; Low-income ;Total;90;
Population covered by a mobile-cellular network (%);2022; Lower-middle-income ;Total;97,3;
Population covered by a mobile-cellular network (%);2022; Upper-middle-income ;Total;98,7;
Population covered by a mobile-cellular network (%);2022; High-income ;Total;99,6;
Population covered by a mobile-cellular network (%);2022; Least Developed Countries (LDCs) ;Total;92,7;
Population covered by a mobile-cellular network (%);2022; Land Locked Developing Countries (LLDCs) ;Total;95,4;
Population covered by a mobile-cellular network (%);2022; Small Island Developing States (SIDS) ;Total;91,2;
Population covered by a mobile-cellular network (%);2023; World ;Total;97,7;
Population covered by a mobile-cellular network (%);2023; Low-income ;Total;90,5;
Population covered by a mobile-cellular network (%);2023; Lower-middle-income ;Total;98,8;
Population covered by a mobile-cellular network (%);2023; Upper-middle-income ;Total;99,6;
Population covered by a mobile-cellular network (%);2023; High-income ;Total;99,6;
Population covered by a mobile-cellular network (%);2023; Least Developed Countries (LDCs) ;Total;93,2;
Population covered by a mobile-cellular network (%);2023; Land Locked Developing Countries (LLDCs) ;Total;95,8;
Population covered by a mobile-cellular network (%);2023; Small Island Developing States (SIDS) ;Total;91,4;
Population covered by a mobile-cellular network (%);2024; World ;Total;97,9;
Population covered by a mobile-cellular network (%);2024; Low-income ;Total;91,1;
Population covered by a mobile-cellular network (%);2024; Lower-middle-income ;Total;98,9;
Population covered by a mobile-cellular network (%);2024; Upper-middle-income ;Total;99,6;
Population covered by a mobile-cellular network (%);2024; High-income ;Total;99,6;
Population covered by a mobile-cellular network (%);2024; Least Developed Countries (LDCs) ;Total;93,6;
Population covered by a mobile-cellular network (%);2024; Land Locked Developing Countries (LLDCs) ;Total;96,1;
Population covered by a mobile-cellular network (%);2024; Small Island Developing States (SIDS) ;Total;91,5;
Population covered by a mobile-cellular network (%);2015;Africa;Total;86,9;
Population covered by a mobile-cellular network (%);2015;Americas;Total;95,8;
Population covered by a mobile-cellular network (%);2015;Arab States;Total;94,7;
Population covered by a mobile-cellular network (%);2015;Asia-Pacific;Total;96;
Population covered by a mobile-cellular network (%);2015;CIS;Total;91,1;
Population covered by a mobile-cellular network (%);2015;Europe;Total;99,5;
Population covered by a mobile-cellular network (%);2016;Africa;Total;88,1;
Population covered by a mobile-cellular network (%);2016;Americas;Total;96,1;
Population covered by a mobile-cellular network (%);2016;Arab States;Total;95,6;
Population covered by a mobile-cellular network (%);2016;Asia-Pacific;Total;96,5;
Population covered by a mobile-cellular network (%);2016;CIS;Total;92,9;
Population covered by a mobile-cellular network (%);2016;Europe;Total;99,6;
Population covered by a mobile-cellular network (%);2017;Africa;Total;88,1;
Population covered by a mobile-cellular network (%);2017;Americas;Total;96,6;
Population covered by a mobile-cellular network (%);2017;Arab States;Total;96,4;
Population covered by a mobile-cellular network (%);2017;Asia-Pacific;Total;97,6;
Population covered by a mobile-cellular network (%);2017;CIS;Total;93,5;
Population covered by a mobile-cellular network (%);2017;Europe;Total;99,7;
Population covered by a mobile-cellular network (%);2018;Africa;Total;88,9;
Population covered by a mobile-cellular network (%);2018;Americas;Total;96,7;
Population covered by a mobile-cellular network (%);2018;Arab States;Total;96,6;
Population covered by a mobile-cellular network (%);2018;Asia-Pacific;Total;97,9;
Population covered by a mobile-cellular network (%);2018;CIS;Total;93,6;
Population covered by a mobile-cellular network (%);2018;Europe;Total;99,7;
Population covered by a mobile-cellular network (%);2019;Africa;Total;88,7;
Population covered by a mobile-cellular network (%);2019;Americas;Total;96;
Population covered by a mobile-cellular network (%);2019;Arab States;Total;96,8;
Population covered by a mobile-cellular network (%);2019;Asia-Pacific;Total;98,6;
Population covered by a mobile-cellular network (%);2019;CIS;Total;98,6;
Population covered by a mobile-cellular network (%);2019;Europe;Total;99,6;
Population covered by a mobile-cellular network (%);2020;Africa;Total;90,2;
Population covered by a mobile-cellular network (%);2020;Americas;Total;95,9;
Population covered by a mobile-cellular network (%);2020;Arab States;Total;96,5;
Population covered by a mobile-cellular network (%);2020;Asia-Pacific;Total;98,5;
Population covered by a mobile-cellular network (%);2020;CIS;Total;98,6;
Population covered by a mobile-cellular network (%);2020;Europe;Total;99,8;
Population covered by a mobile-cellular network (%);2021;Africa;Total;91,9;
Population covered by a mobile-cellular network (%);2021;Americas;Total;95,9;
Population covered by a mobile-cellular network (%);2021;Arab States;Total;96,8;
Population covered by a mobile-cellular network (%);2021;Asia-Pacific;Total;98,6;
Population covered by a mobile-cellular network (%);2021;CIS;Total;98,9;
Population covered by a mobile-cellular network (%);2021;Europe;Total;99,8;
Population covered by a mobile-cellular network (%);2022;Africa;Total;92,6;
Population covered by a mobile-cellular network (%);2022;Americas;Total;96,4;
Population covered by a mobile-cellular network (%);2022;Arab States;Total;97,1;
Population covered by a mobile-cellular network (%);2022;Asia-Pacific;Total;98,7;
Population covered by a mobile-cellular network (%);2022;CIS;Total;99;
Population covered by a mobile-cellular network (%);2022;Europe;Total;99,7;
Population covered by a mobile-cellular network (%);2023;Africa;Total;93,5;
Population covered by a mobile-cellular network (%);2023;Americas;Total;96,6;
Population covered by a mobile-cellular network (%);2023;Arab States;Total;97,2;
Population covered by a mobile-cellular network (%);2023;Asia-Pacific;Total;98,8;
Population covered by a mobile-cellular network (%);2023;CIS;Total;99;
Population covered by a mobile-cellular network (%);2023;Europe;Total;99,8;
Population covered by a mobile-cellular network (%);2024;Africa;Total;93,8;
Population covered by a mobile-cellular network (%);2024;Americas;Total;96,9;
Population covered by a mobile-cellular network (%);2024;Arab States;Total;97,4;
Population covered by a mobile-cellular network (%);2024;Asia-Pacific;Total;98,9;
Population covered by a mobile-cellular network (%);2024;CIS;Total;99,1;
